dt_ms,cr_inside,cr_outside,gap
1.000,98.540,87.758,10.783
2.000,91.899,72.750,19.149
3.000,77.812,58.580,19.232
4.000,64.940,49.122,15.819
5.000,54.985,41.398,13.587
6.000,47.516,35.453,12.064
7.000,41.346,31.029,10.317
8.000,36.555,27.378,9.178
9.000,32.591,24.403,8.188
10.000,28.875,22.046,6.828
11.000,26.525,20.423,6.102
12.000,24.131,19.146,4.985
13.000,22.600,18.226,4.374
14.000,21.400,17.564,3.836
15.000,20.534,17.274,3.260
16.000,19.967,17.033,2.934
17.000,19.567,16.820,2.747
18.000,19.343,16.658,2.685
19.000,19.149,16.583,2.566
20.000,18.949,16.609,2.340
