dt_ms,spatial_tolerance,temporal_tolerance,cancellation_rate,total_roi_real,total_roi_cancelled,mean_displacement_px,frac_matches_ge_3px,frac_matches_ge_5px
0,1.0,1.0,99.99555782600005,45023,45021,0.0,0.0,0.0
0,1.0,2.0,99.76234369100237,45023,44916,0.0,0.0,0.0
0,1.0,3.0,98.49854518801502,45023,44347,0.0,0.0,0.0
0,1.0,4.0,97.08149168202918,45023,43709,0.0,0.0,0.0
0,1.0,5.0,96.1508562290385,45023,43290,0.0,0.0,0.0
0,2.0,1.0,99.99555782600005,45023,45021,0.0,0.0,0.0
0,2.0,2.0,99.76234369100237,45023,44916,0.0,0.0,0.0
0,2.0,3.0,98.49854518801502,45023,44347,0.0,0.0,0.0
0,2.0,4.0,97.08149168202918,45023,43709,0.0,0.0,0.0
0,2.0,5.0,96.1508562290385,45023,43290,0.0,0.0,0.0
0,3.0,1.0,99.99555782600005,45023,45021,0.0,0.0,0.0
0,3.0,2.0,99.76234369100237,45023,44916,0.0,0.0,0.0
0,3.0,3.0,98.49854518801502,45023,44347,0.0,0.0,0.0
0,3.0,4.0,97.08149168202918,45023,43709,0.0,0.0,0.0
0,3.0,5.0,96.1508562290385,45023,43290,0.0,0.0,0.0
0,4.0,1.0,99.99555782600005,45023,45021,0.0,0.0,0.0
0,4.0,2.0,99.76234369100237,45023,44916,0.0,0.0,0.0
0,4.0,3.0,98.49854518801502,45023,44347,0.0,0.0,0.0
0,4.0,4.0,97.08149168202918,45023,43709,0.0,0.0,0.0
0,4.0,5.0,96.1508562290385,45023,43290,0.0,0.0,0.0
0,5.0,1.0,99.99555782600005,45023,45021,0.0,0.0,0.0
0,5.0,2.0,99.76234369100237,45023,44916,0.0,0.0,0.0
0,5.0,3.0,98.49854518801502,45023,44347,0.0,0.0,0.0
0,5.0,4.0,97.08149168202918,45023,43709,0.0,0.0,0.0
0,5.0,5.0,96.1508562290385,45023,43290,0.0,0.0,0.0
1,1.0,1.0,90.63589720809364,45023,40807,0.5305883386022932,0.0,0.0
1,1.0,2.0,87.99058259112009,45023,39616,0.5025170205759873,0.0,0.0
1,1.0,3.0,86.77786908913222,45023,39070,0.4896827671276368,0.0,0.0
1,1.0,4.0,85.84723363614152,45023,38651,0.4835979830080604,0.0,0.0
1,1.0,5.0,85.20311840614796,45023,38361,0.4808468036478262,0.0,0.0
1,2.0,1.0,90.72251960109277,45023,40846,0.5738154533240465,0.0,0.0
1,2.0,2.0,88.04610976611954,45023,39641,0.5428093824311535,0.0,0.0
1,2.0,3.0,86.82673300313172,45023,39092,0.5277268145086289,0.0,0.0
1,2.0,4.0,85.88943428914111,45023,38670,0.5200786579170448,0.0,0.0
1,2.0,5.0,85.24531905914755,45023,38380,0.5166200874385336,0.0,0.0
1,3.0,1.0,90.72251960109277,45023,40846,0.6151521722955161,0.0,0.0
1,3.0,2.0,88.04610976611954,45023,39641,0.572164005836979,0.0,0.0
1,3.0,3.0,86.82673300313172,45023,39092,0.5527867477374078,0.0,0.0
1,3.0,4.0,85.88943428914111,45023,38670,0.5426457016469589,0.0,0.0
1,3.0,5.0,85.24531905914755,45023,38380,0.5380613424482384,0.0,0.0
1,4.0,1.0,90.72251960109277,45023,40846,0.6151521722955161,0.0,0.0
1,4.0,2.0,88.04610976611954,45023,39641,0.572164005836979,0.0,0.0
1,4.0,3.0,86.82673300313172,45023,39092,0.5527867477374078,0.0,0.0
1,4.0,4.0,85.88943428914111,45023,38670,0.5426457016469589,0.0,0.0
1,4.0,5.0,85.24531905914755,45023,38380,0.5380613424482384,0.0,0.0
1,5.0,1.0,90.72251960109277,45023,40846,0.6151521722955161,0.0,0.0
1,5.0,2.0,88.04610976611954,45023,39641,0.572164005836979,0.0,0.0
1,5.0,3.0,86.82673300313172,45023,39092,0.5527867477374078,0.0,0.0
1,5.0,4.0,85.88943428914111,45023,38670,0.5426457016469589,0.0,0.0
1,5.0,5.0,85.24531905914755,45023,38380,0.5380613424482384,0.0,0.0
2,1.0,1.0,50.51862381449481,45023,22745,0.5881738041166655,0.0,0.0
2,1.0,2.0,57.06194611642938,45023,25691,0.5292471242165739,0.0,0.0
2,1.0,3.0,60.18923661239811,45023,27099,0.5004081605312064,0.0,0.0
2,1.0,4.0,61.595184683384055,45023,27732,0.4869774954460115,0.0,0.0
2,1.0,5.0,62.083823823379156,45023,27952,0.4810881353515994,0.0,0.0
2,2.0,1.0,76.56308997623437,45023,34471,0.8519763685807709,0.0,0.0
2,2.0,2.0,73.6201497012638,45023,33146,0.7188627216208203,0.0,0.0
2,2.0,3.0,72.68285098727317,45023,32724,0.6519215210923205,0.0,0.0
2,2.0,4.0,72.15201119427847,45023,32485,0.6184141340769315,0.0,0.0
2,2.0,5.0,71.901028363281,45023,32372,0.604198360887118,0.0,0.0
2,3.0,1.0,76.6097328032339,45023,34492,0.8840231651785062,0.0,0.0
2,3.0,2.0,73.65790818026342,45023,33163,0.7501982662864145,0.0,0.0
2,3.0,3.0,72.72060946627279,45023,32741,0.6820815839303459,0.0,0.0
2,3.0,4.0,72.19199076027807,45023,32503,0.6476525411999795,0.0,0.0
2,3.0,5.0,71.94100792928059,45023,32390,0.6327016995674124,0.0,0.0
2,4.0,1.0,76.6097328032339,45023,34492,0.9365042229445014,0.020089705368893186,0.0
2,4.0,2.0,73.65790818026342,45023,33163,0.7960370330178828,0.01676413255360624,0.0
2,4.0,3.0,72.72060946627279,45023,32741,0.7263130902615156,0.015831431871320318,0.0
2,4.0,4.0,72.19199076027807,45023,32503,0.6888709533238608,0.01460785704155439,0.0
2,4.0,5.0,71.94100792928059,45023,32390,0.6725654681192502,0.014055653559437773,0.0
2,5.0,1.0,76.6097328032339,45023,34492,0.9805608678883184,0.03233078718438362,0.0
2,5.0,2.0,73.65790818026342,45023,33163,0.8318388448470305,0.026362232517096844,0.0
2,5.0,3.0,72.72060946627279,45023,32741,0.7563852176314446,0.02377892030848329,0.0
2,5.0,4.0,72.19199076027807,45023,32503,0.716628580288831,0.021876847706731987,0.0
2,5.0,5.0,71.94100792928059,45023,32390,0.6990402974916268,0.020964005198621235,0.0
3,1.0,1.0,35.57515047864425,45023,16017,0.5972541488199313,0.0,0.0
3,1.0,2.0,44.12411434155876,45023,19866,0.5363386728431849,0.0,0.0
3,1.0,3.0,48.90833573951092,45023,22020,0.5023471581932085,0.0,0.0
3,1.0,4.0,51.42926948448571,45023,23155,0.4861980327434297,0.0,0.0
3,1.0,5.0,52.28438797947715,45023,23540,0.47897673569761706,0.0,0.0
3,2.0,1.0,61.15763054438842,45023,27535,0.944944279812851,0.0,0.0
3,2.0,2.0,61.108766630388914,45023,27513,0.7795250817717553,0.0,0.0
3,2.0,3.0,61.555205117384446,45023,27714,0.6890226354060441,0.0,0.0
3,2.0,4.0,61.8705994713813,45023,27856,0.6420685472962941,0.0,0.0
3,2.0,5.0,61.8594940363814,45023,27851,0.6227945690020313,0.0,0.0
3,3.0,1.0,68.76263243231237,45023,30959,1.1077631307246485,0.0,0.0
3,3.0,2.0,65.49763454234503,45023,29489,0.8944368862432833,0.0,0.0
3,3.0,3.0,64.6891588743531,45023,29125,0.7786696433492672,0.0,0.0
3,3.0,4.0,64.36710125935633,45023,28980,0.717575983824896,0.0,0.0
3,3.0,5.0,64.07835994935922,45023,28850,0.6913507495743323,0.0,0.0
3,4.0,1.0,68.79372765031206,45023,30973,1.1411250770597339,0.014340635869896869,0.0
3,4.0,2.0,65.5309508473447,45023,29504,0.925366160297799,0.01215311004784689,0.0
3,4.0,3.0,64.7202540923528,45023,29139,0.8094827096251676,0.011539081385979049,0.0
3,4.0,4.0,64.39597539035604,45023,28993,0.7472987026441507,0.010872378980067305,0.0
3,4.0,5.0,64.10501299335894,45023,28862,0.7209804743117132,0.010719506253045314,0.0
3,5.0,1.0,68.79372765031206,45023,30973,1.180759185638029,0.025843611471306656,0.0
3,5.0,2.0,65.5309508473447,45023,29504,0.9643585426721659,0.02284416117123655,0.0
3,5.0,3.0,64.7202540923528,45023,29139,0.8470689814383057,0.02159903011740684,0.0
3,5.0,4.0,64.39597539035604,45023,28993,0.7844527805587705,0.02066446672860667,0.0
3,5.0,5.0,64.10501299335894,45023,28862,0.7573127251875403,0.02023549092780852,0.0
4,1.0,1.0,27.072829442729272,45023,12189,0.6067808466857192,0.0,0.0
4,1.0,2.0,35.488528085645115,45023,15978,0.5520725091875376,0.0,0.0
4,1.0,3.0,40.88799058259112,45023,18409,0.5195058627559622,0.0,0.0
4,1.0,4.0,43.87313151056127,45023,19753,0.499975660547836,0.0,0.0
4,1.0,5.0,45.12582457854874,45023,20317,0.48819181853483645,0.0,0.0
4,2.0,1.0,50.51196055349488,45023,22742,0.993186301323338,0.0,0.0
4,2.0,2.0,52.52648646247473,45023,23649,0.832065672579707,0.0,0.0
4,2.0,3.0,53.82582235746174,45023,24234,0.732988909832814,0.0,0.0
4,2.0,4.0,54.52768584945472,45023,24550,0.6756844498769827,0.0,0.0
4,2.0,5.0,54.656508895453435,45023,24608,0.6469216508806219,0.0,0.0
4,3.0,1.0,60.33582835439664,45023,27165,1.2318758790587,0.0,0.0
4,3.0,2.0,58.09475157141905,45023,26156,0.9904880814944876,0.0,0.0
4,3.0,3.0,57.65941851942341,45023,25960,0.852062638653473,0.0,0.0
4,3.0,4.0,57.519490038424806,45023,25897,0.7733200643970964,0.0,0.0
4,3.0,5.0,57.25740177242743,45023,25779,0.7347488689811834,0.0,0.0
4,4.0,1.0,63.249894498367496,45023,28477,1.339963380313548,0.05063206024744486,0.0
4,4.0,2.0,59.81165182240188,45023,26929,1.068510058368809,0.03249071946261269,0.0
4,4.0,3.0,58.84770006441153,45023,26495,0.9141834277761535,0.024196150123669213,0.0
4,4.0,4.0,58.49898940541502,45023,26338,0.8278185030138124,0.02043022375959356,0.0
4,4.0,5.0,58.09919374541901,45023,26158,0.7837613661710848,0.018059181897302,0.0
4,5.0,1.0,63.27654754236723,45023,28489,1.3735874575753897,0.060893278792111476,0.0
4,5.0,2.0,59.838304866401614,45023,26941,1.103350846632365,0.04247725682295311,0.0
4,5.0,3.0,58.87213202141128,45023,26506,0.9491674036820291,0.03385860306643952,0.0
4,5.0,4.0,58.51675810141484,45023,26346,0.8618613245601586,0.029591290380153488,0.0
4,5.0,5.0,58.11696244141883,45023,26166,0.8182369386934752,0.027230923983330938,0.0
5,1.0,1.0,21.27801345978722,45023,9580,0.6087212531415929,0.0,0.0
5,1.0,2.0,29.09401861270906,45023,13099,0.5606293259460774,0.0,0.0
5,1.0,3.0,34.142549363658574,45023,15372,0.5305980275823806,0.0,0.0
5,1.0,4.0,37.31426159962686,45023,16800,0.5099214384991497,0.0,0.0
5,1.0,5.0,38.80905315061191,45023,17473,0.4964187883921859,0.0,0.0
5,2.0,1.0,42.61599626857384,45023,19187,1.0320921540363228,0.0,0.0
5,2.0,2.0,45.74328676454257,45023,20595,0.8757536520191278,0.0,0.0
5,2.0,3.0,47.653421584523464,45023,21455,0.781919954344026,0.0,0.0
5,2.0,4.0,48.5107611665149,45023,21841,0.7177273383656556,0.0,0.0
5,2.0,5.0,48.73064877951269,45023,21940,0.6820505299121666,0.0,0.0
5,3.0,1.0,53.48377495946516,45023,24080,1.3198857050941584,0.0,0.0
5,3.0,2.0,52.315483197476844,45023,23554,1.0730384276124756,0.0,0.0
5,3.0,3.0,52.162228194478374,45023,23485,0.9282817683656922,0.0,0.0
