timestamp,window_left,window_right,window_len_s,center_x,center_y,radius,omega_circlefit_rad_s,inlier_rms,num_points,arc_deg,source_file
0.325257271,0.075262542,0.575252,0.499989458,665.1612770597546,337.8720764077632,229.72369110693714,3.5260474887665314,1.2508633698046612,10952,103.85516894472522,perlin_1280hz_hand_outframe_3
0.37524166200000003,0.125315429,0.625167895,0.499852466,664.9491870137217,338.19220375704987,229.39426153439726,3.5336066520071014,1.2697064040047121,10843,101.91114447681119,perlin_1280hz_hand_outframe_3
0.4252928055,0.175393111,0.6751925,0.499799389,665.1772811219888,337.6917087518882,229.9007259769162,3.533092537122011,1.2934352420597197,10722,101.86718957011018,perlin_1280hz_hand_outframe_3
0.47527481,0.22531612,0.7252335,0.49991737999999997,665.0237053456137,337.8427510486088,229.70327438882902,3.545682142179382,1.3069196497042077,10566,102.19151749912876,perlin_1280hz_hand_outframe_3
0.525202139,0.275356478,0.7750478,0.49969132199999994,663.7012717727865,339.20781210603786,227.93723969039405,3.585499853208148,1.3451806378192737,10372,103.7475316660615,perlin_1280hz_hand_outframe_3
0.5752953335,0.325348667,0.825242,0.49989333300000005,663.6414347952618,339.084031077761,227.9519255407699,3.600241867900642,1.3721409011620935,10216,103.78289902551843,perlin_1280hz_hand_outframe_3
0.6252724545,0.375302909,0.875242,0.49993909099999995,664.6078852562308,338.23242410602984,229.11063552015037,3.59822724791603,1.3926579931280556,10073,104.11490489150495,perlin_1280hz_hand_outframe_3
0.6753372275,0.425413273,0.925261182,0.499847909,665.0438369803087,337.9545610207736,229.57861412421474,3.6052825541679594,1.4148337869372878,9939,103.46035995531443,perlin_1280hz_hand_outframe_3
0.725238,0.475269,0.975207,0.49993800000000005,665.359817496056,337.92031087055284,229.8747462530695,3.612685279883142,1.4121865786586292,9829,103.47735389239689,perlin_1280hz_hand_outframe_3
0.7752895385,0.525392077,1.025187,0.49979492300000006,665.3028635741745,337.8928359793981,229.82581411902845,3.6142075006307697,1.4332176735036128,9613,103.1556359225402,perlin_1280hz_hand_outframe_3
0.82523328,0.5752875,1.07517906,0.49989156,664.1667848640211,337.68756879575017,228.7549516546999,3.6252397617428698,1.4641584250187045,9320,104.16443179644666,perlin_1280hz_hand_outframe_3
0.8752494465,0.625282083,1.12521681,0.49993472699999997,663.8875278620837,337.3144632694723,228.38261687917534,3.624101469426648,1.493853838275425,8943,103.85460973957161,perlin_1280hz_hand_outframe_3
0.9252861205,0.675396571,1.17517567,0.49977909900000006,663.7794812460596,336.81230111210084,228.03470297465736,3.623193701612176,1.4937704567555674,8532,104.38259054963095,perlin_1280hz_hand_outframe_3
0.9752569915,0.725306143,1.22520784,0.499901697,663.7812889815685,336.0547088012855,227.55858594483328,3.629348475712934,1.5312736023346054,8220,104.91275097541833,perlin_1280hz_hand_outframe_3
1.0253632575,0.775490625,1.27523589,0.49974526500000005,664.3893427994906,336.85624424233447,228.4818124378412,3.6202803416692864,1.5503343582776739,8077,104.98601279363461,perlin_1280hz_hand_outframe_3
1.075264585,0.8253035,1.32522567,0.49992217000000005,665.084891893024,338.6087073291992,230.2007550353912,3.614356078125636,1.4913648606065202,8083,104.45713523918658,perlin_1280hz_hand_outframe_3
1.12526968,0.8752938,1.37524556,0.49995175999999997,665.2614482829475,339.01215719755623,230.59794129738913,3.6333530419559668,1.4649798316851275,8292,104.64312958576151,perlin_1280hz_hand_outframe_3
1.17529885,0.9253637,1.425234,0.4998702999999999,665.2326257731181,338.35932097936507,230.01741299343826,3.6643462271920573,1.4332439248059787,8571,104.68803057730175,perlin_1280hz_hand_outframe_3
1.2252727335,0.975333067,1.4752124,0.499879333,665.4630268033361,337.56168354749536,229.2763475368556,3.6965794226793323,1.4283274920293214,8924,105.41121811668272,perlin_1280hz_hand_outframe_3
1.27526299,1.02536467,1.52516131,0.49979664,666.0195080412834,336.7710381056809,228.40259069027763,3.7166886842370026,1.401685265875054,9483,106.64885535025606,perlin_1280hz_hand_outframe_3
1.325241585,1.0752864,1.57519677,0.49991037000000005,665.8229575418591,337.12405359441584,228.77603923820683,3.7038262791646632,1.3709939235445125,10162,105.89545527666196,perlin_1280hz_hand_outframe_3
1.3752858799999998,1.12535809,1.62521367,0.49985557999999997,666.4240448465631,336.52326460969135,227.99502638172802,3.69932063852301,1.3345933019480467,10988,106.59411260133074,perlin_1280hz_hand_outframe_3
1.42528583,1.17534066,1.675231,0.4998903399999999,666.5177162064081,336.67899398873965,228.0074655767641,3.680038078433576,1.318279909191814,11832,106.91116691235844,perlin_1280hz_hand_outframe_3
1.47525871,1.2252696,1.72524782,0.49997822000000003,666.9597281157895,336.6342196411401,227.62109449676475,3.6653308014204806,1.2861402254114378,12614,105.91823907142428,perlin_1280hz_hand_outframe_3
1.52530105,1.2753561,1.775246,0.4998899000000001,666.5276025017278,336.8082099645443,228.0498136425694,3.6362846040810504,1.2505062995238958,13288,105.338802932299,perlin_1280hz_hand_outframe_3
1.57526573,1.32530313,1.82522833,0.49992520000000007,665.7832477885412,337.01280460180584,228.75880008367716,3.608779660447156,1.2553909424263066,13752,104.35555981986059,perlin_1280hz_hand_outframe_3
1.625234485,1.3752801,1.87518887,0.49990877,665.3921404197665,337.12077029744097,229.1170803166342,3.5890708593743934,1.2700070221060562,14034,103.3438230522655,perlin_1280hz_hand_outframe_3
1.675298905,1.42540919,1.92518862,0.4997794299999998,665.5334901107892,337.1205641852826,228.99415408450494,3.578414434075217,1.2791039339735686,14228,103.4474268418236,perlin_1280hz_hand_outframe_3
